text,label
"$RPD - Rapid7 EPS beats by $0.04, beats on revenue ",1
U.S. stocks open lower  ,0
LHC,2
"Michael Bloomberg is joining a crowded 2020 Democratic field, starting his campaign with a $35 million cross-countr… ",2
"$BNGO $PLAG $PYX - TSLA, INO among premarket gainers ",1
$ENOB - Enochian Bio +18% premarket on acquiring exclusive license for HBV ,1
KUDLOW SAYS TRUMP IS NOT READY TO SIGN ANY TRADE DEAL WITH CHINA,0
A Booming Corner of Private Credit Has Some Investors on Edge,0
Illinois risk seeing its credit rating cut to junk ,0
"Toyota, Honda Extend China Shutdowns as Virus Gathers Pace",0
Income Tax Department Launches E-Calculator To Compare New And Old Regime,2
"$EXFO - EXFO EPS in-line, beats on revenue ",1
"LRAD EPS misses by $0.01, misses on revenue",0
This week's #economic data releases & forecasts  #AdvIntlTradeInGoods #AdvRetailInventories… ,2
Averages edges higher ,1
Why Credit Suisse Sees the S&P 500 Gaining 10% in 2020,1
"EUR/USD Mid-Session Technical Analysis for November 18, 2019",2
Hedge Funds Are Selling Franks International NV (FI),0
"$WTS - Watts Water Technologies EPS beats by $0.02, beats on revenue ",1
"'Dean of Valuation' says Saudis got the Aramco valuation right, but he's still not buying",2
Dow stock price target raised to $52 vs. $46 at BofA Merrill Lynch,1
Electric-Car Onset Leaves Lubricant Industry Facing Kodak’s Fate,2
BTIG expects Domino's to boost buybacks,1
Dog People Rejoice: Owning A Pup Is Good For Your Cardiovascular Health : Shots - Health News : NPR ,2
Westpac Banking : Announces Response Plan #WestpacBanking #Stock #MarketScreener  ,2
"Morgan Stanley says forecasting just the next two months, let alone 2020, is hard right now",2
"Fed's Mester would have preferred no rate cuts in July, September",2
"NEW Global Electrification Platform, a one-stop-shop for: 

✅ public #data
✅ modeling tools
✅ Open Source, multifun… ",2
"HollyFrontier OKs new $1 billion stock buyback program, to build new renewable diesel unit",1
"Energy has gone nowhere in the past decade, and it could get worse before it gets better ",0
"UPDATE: U.S. stocks rose Friday, recovering after three consecutive session of losses  by… ",1
