text,label
BJ's Wholesale cuts same-store sales outlook to up 1.3%-1.5% from up 1.5%-2.5%,0
$JCI - Johnson Controls International plc 2019 Q4 - Results - Earnings Call Presentation.  ,2
Popeyes Sandwich Demand Fuels Profit Beat at Burger King Owner,1
Why is gold lower on the day? ,0
Dow off 0.4%; S&P 500 slides 0.2% late-morning Tuesday,0
Lawsuit against Boeing seeks to hold board liable for 737 MAX problems,0
Why NIO Hasn’t Fallen Totally Off the Cliff,1
Transportation is ‘broken’ — head of GM’s driverless car unit ,2
German Industry Slump Set to Cast Shadow on Economy Through 2020,0
Casper Sleep expected to open above IPO pricing,2
$PLMR - Palomar Holdings (PLMR) Investor Presentation - Slideshow. Get more info on Seeking Alpha:… ,2
Chain store sales fall back from recent pace,0
S&P 500 Coasts Into Thanksgiving Week. Follow this and any other stock on Seeking Alpha!  #finance #markets #trading,1
"$ANAB (+11.8% pre) Form SC 13G ANAPTYSBIO, INC Filed by: TANG CAPITAL PARTNERS LP

",1
Hedge Funds Have Never Been This Bullish On Adesto Technologies Corporation (IOTS),1
Southern gains 2.9% on Georgia rate case approval,1
Cboe's Q4 results slide on lower market volatility,0
Heat Biologics started at buy with $1 stock price target at Maxim Group,1
"Two key regulators are holding off on easing Wall Street debt limits, leaving billions of dollars locked up that co… ",2
Anglo Australian Resources NL : Exploration Update for Mandilla Gold Discovery #AngloAustralianResourcesNL #Stock… ,2
"Airbus will pay around $4 billion to settle corruption probes by the U.S., British and French authorities into cont... ",1
Sorrento Therapeutics : Simplified registration form #SorrentoTherapeutics #Stock #MarketScreener… ,2
"The longer coronavirus dents China's industrial output, the bigger the risk to global supply chains ",0
Stock Market Update: Facebook seeing increased buying interest,1
Get Excited About U.S. Economy And Stocks – Senate To Regain Tariff Powers,1
$CGC - Canopy Growth: Falling Apart During Leadership Void. Get more info on Seeking Alpha:  ,0
"Monte Paschi Misses Full-Year Income Target, May Cut Costs More",0
"Stock Market 2020: Goldman presents a gloomy ‘unified government’ scenario
 by @emily_mcck ",0
Cya Jason Garrett,2
Anthem stock price target raised to $330 from $300 at SunTrust RH,1
"$ONCS $CODX $EURN - CIM, EURN among premarke losers ",0
The U.S. lifted sanctions against a unit of China's biggest shipping company that was accused of hauling Iranian cr... ,2
"FT Crossword: Number 16,333 ",2
The Jitters Are Back: Everything Is Turning Down Again... Except Stocks ,2
Tyson Foods Q1 adj. EPS $1.66 vs. $1.58 a year ago; FactSet consensus $1.63,1
2U downgraded to sector weight from overweight at KeyBanc Capital,0
"STOCKS NOW:
- Dow up 345.10 points 
- Nasdaq up 88.49 
- S&P up 32.25   
Here's what's moving markets: ",1
Fed's Powell disputes notion that federal welfare programs are dissuading Americans from seeking work ,2
Can employers make female employees wear a bra? Ask HR,2
$TSLA $DIS $AMZN All gapping up nice for my calls.,1
Fortinet stock price target raised to $120 from $110 at Monness Crespi Hardt,1
ACHV,2
$TWLO - Twilio gets Street-low target on virus risk ,0
$VCEL - Vericel Corporation: A Must-Have Biotech Post-COVID-19 Sell-Off - Behind The Idea.  ,0
All these names are working. Buying $BZH $HOV,1
Trump Warms to Doing China Trade Deal Soon Ahead of Key Meeting,1
Wall Street has slammed the brakes on one of 2019’s hottest stock-market funds ,0
Carbon Markets Fail to Win Backing at UN Climate Talks,0
"Global growth could slow by 1% if the coronavirus outbreak continues, Blackstone's Byron Wien says.... ",0
Why Deere & Company’s (NYSE:DE) Return On Capital Employed Might Be A Concern,0
Qualcomm Shares Dip Even After Q1 Earnings Beat Over China Coronavirus Outlook,0
"$LEVI - Levi Strauss EPS beats by $0.05, beats on revenue ",1
Uber co-founder Travis Kalanick has sold $1.5 billion worth of the company's stock this month ,0
Buenos Aires Surrender Sends Argentine Bonds on a Wild Rally,1
2 Stocks That Are Soaring on Surging Demand for These Companies' Products,2
Fidelity National to buy FGL Holdings in diversification play,2
$BRFS - Swine Fever And Self-Improvement Leading To Real Progress At BRF. Sign up for updates on Seeking Alpha!… ,1
"Tapestry EPS beats by $0.11, beats on revenue",1
Does DiamondRock Hospitality Company (NYSE:DRH) Have A Volatile Share Price?,2
Wall Street surges as China financial measures soothe virus worries,1
"US oil prices tumbled 9% to $23.63 a barrel, reflecting nervousness ahead of this week's pivotal OPEC meeting ",0
IntercontinentalExchange EPS and revenue in-line,1
"$PALL - Palladium Should Fall Soon, Why This Could Be Important For Gold.  #investing #economy #finance",0
"The strike by about 3,200 Canadian conductors and railyard operators enters its 7th day ",0
Athenex shares fall 19% in morning trading,0
Stocks close mostly lower on earnings concerns,0
"$ADRO - Aduro adds to rally as bargain hunters move in, shares up 18% ",1
Embraer sells six jets at Dubai Airshow - Day 2,2
$XERS - Xeris Pharma launches equity offering; shares down 3% after hours ,0
"If You Invested $10,000 in Google's IPO, This Is How Much Money You've Have Now",2
"UBER, NLOK among premarket gainers",1
"Caterpillar reported lower sales across all three primary segments in the last quarter, adding to the industrial gl... ",0
President Donald Trump said there is “a very good chance” to make a trade deal with China but that unrest in Hong K… ,1
$AIF - Apollo Tactical Income Fund cuts dividend by 9% ,0
$BCC - Boise Cascade declares $0.10 dividend ,2
$MYO off $SONN low float mania is back !!!,1
Mizuho raises Intel on aggressive price cuts,1
Apple's iPhone 11 'massive' success - Wedbush,1
"EMERGING MARKETS-Stocks, currencies edge up on hopes of U.S.-China trade pact",1
Taylor Caswell on the Political Impact of New Hampshire's Economy,2
Today's Free Feature: The Technical Take: Markets Lift Above Two-Day Ranges $INDU $SPX $COMPQ $IWM $IYT $TNX $UUP… ,1
Lowe's stock falls 2.0% premarket in wake of Home Depot's disappointing Q3 report,0
"$AMRH (-8.7% pre) AMERI Holdings (AMRH) Announces 1-for-25 Reverse Stock Split to Regain Nasdaq Compliance

",0
Wall Street Warnings Get Louder Now the Everything Rally Is Back,0
Mentioned $IONS in the past. It looks nice here. Ww. ,1
Why 51job Shares Dropped 15% Last Month,0
"Highlight: “We’ve see again and again that Tesla can’t live up to Elon Musk’s promises,"" @NewConstructs Investment… ",0
Sun Life Financial goes ex-dividend tomorrow,2
Elite Pharmaceuticals reports Q3 results,2
5 Gold-Mining Stocks Still Expected to Surge Higher and Outperform in 2020,1
Defence Expo: $5 Billion Defence Export Target To Be Achieved By 2024: Rajnath Singh,2
The Medicines Company up 2% premarket on positive inclisiran data,1
Predata does amazing things!,2
"Estee Lauder Cuts Profit Outlook Again, Citing Coronavirus",0
Calgon Carbon Corporation Announces Global Price Increase for 2020  ,2
Nike employees protest treatment of women as company reopens building named for disgraced coach… ,2
Costco shares fall 1.9% as analysts view latest quarter as good but not stellar,0
Alibaba global offering prices at ~2.8% discount,2
Jaguar Land Rover to cut output at two UK factories,0
"She wore black turtlenecks, charmed investors and became a self-made billionaire – but she was also a fraud. Gillia… ",2
SEBI Mulls Raising Penalty On Rating Agencies In IL&FS Case,2
Cannabis Countdown: Top 10 Marijuana Industry News Stories Of The Week,2
22nd Century pops after FDA win,1
AT&T supports Pai's public midband auction call; I -40%,2
Immunomedics shares more than doubled after a study of its breast cancer drug was stopped early on promising results ,1
Hedge Funds Aren’t Crazy About Hutchison China MediTech Limited (HCM) Anymore,0
Total gets Libya's approval to acquire Marathon Oil concession ,2
Why Shares of NortonLifeLock Jumped Today,1
Nomura : ING working on digital assets custody technology - sources #Nomura #Stock #MarketScreener… ,2
Results: Digi International Inc. Beat Earnings Expectations And Analysts Now Have New Forecasts,1
"Acceleron Pharma : , Bristol-Myers Shares Up After New FDA Nod for Reblozyl #AcceleronPharma #Stock #MarketScreener… ",1
"Stock market live Wednesday: S&P 500 erases coronavirus sell-off, Tesla's 2nd worst drop ever - CNBC",1
"Investors should prepare for a coronavirus-induced 'vicious spiral' more than twice as bad as the financial crisis,… ",0
Ebix declares $0.075 dividend,2
Canada Goose stock price target cut to $50 from $65 at CFRA,0
"History shows that the Dow, S&P 500, and the Nasdaq could be in for another huge run in 2020.… ",1
Retail sales growth softens,0
Boris Johnson Set to Back High-Speed Rail Project Despite Costs,2
WestRock upgraded to buy from neutral at BofA Merrill Lynch,1
"EUR/USD Mid-Session Technical Analysis for November 18, 2019",2
Wall Street slips from record highs at open after jobs report,0
If You Had Bought Canadian Tire Corporation (TSE:CTC.A) Shares Five Years Ago You'd Have Made 24%,1
Best books of 2019: Children’s books ,2
Airbus : Boeing deliveries halved in first eleven months of 2019 #Airbus #Stock #MarketScreener… ,0
Cotton futures are trading at their lowest levels since 2010 as the virus forces clothing retailers to shut stores.… ,0
ARK Invest ETFs Focus on Disruptive Companies,2
"Nifty, Sensex rise; Reliance, PSU energy stocks gain",1
$NCR - NCR Corporation to offer $400M senior notes due 2025 ,2
"$PE $PXD - Parsley willing to cut oil production 20% if deal reached, CEO says ",2
"Earnings Miss: Neurocrine Biosciences, Inc. Missed EPS By 52% And Analysts Are Revising Their Forecasts",0
Trump said that a long-negotiated trade deal with China is “potentially very close” this morning. ,1
Oil resumes gain as investors monitor back-and-forth trade talks ,1
WTO expects tariff to threaten global goods trade,0
Correction to Warning Signs for Companies Article -- Journal Report #economy #MarketScreener  ,2
"$UBER (-4.2% pre) Uber Loses London License Over Concerns for Rider Safety - BBG

",0
Gaige Keep: A Former Marine Sergeant-Turned-Marketing Guru Sheds Light On Building A Personal Brand,2
