text,label
FAA weighs plane approval revamp,2
Kenya GDP growth to drop to 3% or less in 2020 due to novel coronavirus - finance minister #economy #MarketScreener… ,0
That's a new 52-week high for the Russell 2000.  Small caps have nearly caught up....S&P YTD is up 25.6% while Russell 2000 YTD is up 21.4%.,1
"results : dr jack henry & associates, ibm inc. exceeded expectations and withdrew the consensus committee has since updated down its estimates",1
"Loss of working hours to equal 195m full-time jobs, UN agency warns ",0
"Abiomed EPS beats by $0.03, misses on revenue",2
What’s happening to Uber in London isn’t just a local challenge. It’s a test of how it can do business anywhere out… ,2
Apple forecasts 100M+ 5G iPhone sales - report,1
We had a number of scholars here presenting new research at our “Workshop on Expectations Surveys.” This emerging f… ,2
most gold edges slope back down from modest gains after data,0
ICYMI: 81% of U.S. small businesses are 'nonemployer' firms — meaning they have no employees other than the owner(s… ,2
"$FLS (+3.1% pre) Flowserve (FLS) Withdraws 2020 Full Year Guidance - SI

",1
2014 oyster south point global pharma initiated business at overweight with $ 26 price target at sears jp jones morgan,1
"sunexpress exercising options was to similarly buy 10 additional boeing general 737 dream max phase 8 planes, valued approximately at $ c 1. 2 bln",1
"tsb to effectively close 82 international branches, slash government costs in this strategy overhaul",0
"Munster Doubles Down, Says Apple Has 40% Upside This Year",1
"Highlight: ""It's definitely one of the most detailed plans we've seen so far [from] 2020 candidates,""… ",2
Philip Morris Q4 adj. EPS $1.22; FactSet consensus $1.21,2
Ecolab Named to CDP Water Security A List for Sustainable Water Management,2
"nifty, from sensex net rise ; limited reliance, other psu energy portfolio stocks gain",1
All but one of Africa's 54 nations have signed up for what would be the world's largest free-trade zone ,2
the arch dominion coal stock price target cut compared to $ t 97 to from $ 100 at b. riley group fbr,0
"Hedge Funds Dropped The Ball On Molecular Templates, Inc. (MTEM)",2
asian tourism shares be mostly higher ; hang seng jumps sharply on asian stimulus expectations,1
Orr May Signal Readiness to Cut Rates as Virus Hits New Zealand's Economy,2
Synaptics stock price target raised to $40 from $32 at J.P. Morgan,1
turkish lira slides past figure 6 per us dollar up to an eight - point month economic low,0
Invitae Corp. maintained as buy at Benchmark,1
hedge funds are still crazy about their cincinnati george bell inc. ( 2007 cbb ),1
chicago softbank capital group international corp. ’ s massive investment in wework triggered a multi - consecutive billion - high dollar net writedown and resulting a surprisingly rare apology f lame …,0
"worst uk regulator which names, shames and imposes £1. 9m large fine points on top closet retail index manager. continue the reading : …",0
The UK General Election – Johnson Wins with an Emphatic Majority,2
mass layoffs could push canada its consumer confidence to a all - time dangerously low,0
Novartis nears $9bn deal to buy The Medicines Company ,2
Morgan Stanley hires former AIG executive to lead global support centers #economy #MarketScreener… ,2
Ionis Pharmaceuticals (NASDAQ:IONS) Has A Rock Solid Balance Sheet,1
T-Mobile CEO: 'Was never having discussions' to run WeWork,2
$ 200 itci - 2012 intra - company cellular therapies : this small cap biotech group will probably not only be small for so long. # economy # small investing # emerging markets,1
fed't s gary daly says us this job market still has room there to run,1
"As of 11pm tonight, Britain will have left the EU. Read this by @robertshrimsley from the FT archives: Brexit's 'do... ",2
"here's also how tesla stock exchange swings to 18 % rates higher, trader says $ 50 tsla ( read via @ tesla tradingnation )",1
"on exxon, a chevron total results augur tough first year ahead, shares generally drop around 3 % # average economy # marketscreener",0
mount cyrusone upgraded to slightly overweight from oil sector weight out at point keybanc capital,1
unfortunately nvidia corporation just beat home eps trading by 16 % : here's exactly what we analysts think usually will happen next,1
"Short trading day for me guys, im heading to Spain this afternoon, specifically to Coruna. It is the site of the Ro… ",2
US asset manager puts pressure on Japan’s TBS to offload assets ,2
Starbucks upgraded to overweight at J.P. Morgan after meeting with executives,1
Science Applications International Corporation (SAIC) Climbs 4.79% Today: Breaking Down The Root Causes - Find News,1
"technical compliance indicator : 2017 late - year blue bull market trend confirmed either by fitch s & p, nasdaq",1
"aud / gt usd, nzd / gs usd, gs usd / cny – greenback version showing very slight ownership gains",1
Palantir Wins New Pentagon Deal With $111 Million From the Army,1
Hillhouse Capital to bid for Thyssenkrupp elevator unit - Bloomberg,2
$WEBK $EZPW $BRP - Wellesley Bancorp leads financial gainers; Weidai the only loser ,2
"nasdaq closes on about 21 option points, the 0. 97 2 %, in higher",1
"$ 900 stne was gaps up in 20. 49 % on almost 6x average volume, maximum breaking above max 39. 45 / for 38. 37 handle pivots back and sliding through 40. 50 · second loads …",1
The Places With China Travel Restrictions Due to Coronavirus Outbreak,2
as stock price futures rates move higher and as free trade deal hopes rise # economy # marketscreener,1
its cvs health stock price target raised nearly to $ 2 90 stock from $ 85 target at suntrust health rh,1
Michael Gove warns the logistics industry to prepare for strict border controls between Britain and the EU after Br… ,2
Brookfield seen as 'dark horse' buyer for Trans Mountain after equity raise,2
$RGEN - Repligen (RGEN) Investor Presentation - Slideshow. Get more updates here:  #markets #stocks #investing,2
Not The Onion - Ivy League Students Push To Abolish Prisons ,2
The key: focus on long-term capital gains and/or qualified dividends. ,2
most hedge income funds aren of ’ well t done buying california green water service group ( cwt ),1
"the mid - next morning cash market management update : smaller markets open higher ; bob schwab, td ameritrade confirm $ 2 26b of merger",1
"$LSCC - Lattice unveils FPGA platform, products ",2
"Calyxt Achieves 2020 Soybean Contracted Acreage Goal of 100,000 Acres",2
signs vans canada parent to vf retail corp. says china stores still still open have never seen'significant'declines in retail traffic,0
east congo palm - based oil producer and implicated in environmental report,0
baird returns back to wingstop for bull durham camp,1
"More than $56 billion of dividends have been scrapped by businesses based in Western Europe, the U.S. and Canada ",0
Investors Get 2 New ESG ETFs for 2020,2
Niger Jihadist Raid Shows Speed of Islamic State Expansion,2
